ABATEDOR(A) DE AVES COM COMERCIALIZAÇÃO DO PRODUTO INDEPENDENTE ;4724-5/00
ACABADOR(A) DE CALÇADOS INDEPENDENTE ;1531-9/02
AÇOUGUEIRO(A) INDEPENDENTE ;4722-9/01
ADESTRADOR(A) DE ANIMAIS INDEPENDENTE ;9609-2/07
ADESTRADOR(A) DE CÃES DE GUARDA INDEPENDENTE ;8011-1/02
AGENTE DE CORREIO FRANQUEADO  E PERMISSIONÁRIO INDEPENDENTE ;5310-5/02
AGENTE DE VIAGENS INDEPENDENTE ;7911-2/00
AGENTE FUNERÁRIO INDEPENDENTE ;9603-3/04
AGENTE MATRIMONIAL INDEPENDENTE ;9609-2/02
ALFAIATE INDEPENDENTE ;1412-6/02
AMOLADOR(A) DE ARTIGOS DE CUTELARIA INDEPENDENTE ;9529-1/99
ANIMADOR(A) DE FESTAS INDEPENDENTE ;9329-8/99
ANTIQUÁRIO(A) INDEPENDENTE ;4785-7/01
APICULTOR(A) INDEPENDENTE; 0159-8/01
APURADOR(A), COLETOR(A) E FORNECEDOR(A) DE RECORTES DE MATÉRIAS PUBLICADAS EM JORNAIS E REVISTAS INDEPENDENTE ;6399-2/00
ARMADOR(A) DE FERRAGENS NA CONSTRUÇÃO CIVIL INDEPENDENTE ;2599-3/01
ARTESÃO(Ã) DE BIJUTERIAS INDEPENDENTE ;3212-4/00
ARTESÃO(Ã) EM BORRACHA INDEPENDENTE ;2219-6/00
ARTESÃO(Ã) EM CERÂMICA INDEPENDENTE ;2349-4/99
ARTESÃO(Ã) EM CIMENTO INDEPENDENTE ;2330-3/99
ARTESÃO(Ã) EM CORTIÇA, BAMBU E AFINS INDEPENDENTE ;1629-3/02
ARTESÃO(Ã) EM COURO INDEPENDENTE ;1529-7/00
ARTESÃO(Ã) EM GESSO INDEPENDENTE;2330-3/99
ARTESÃO(Ã) EM LOUÇAS, VIDRO E CRISTAL INDEPENDENTE;2399-1/01
ARTESÃO(Ã) EM MADEIRA INDEPENDENTE ;1629-3/01
ARTESÃO(Ã) EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS INDEPENDENTE;2391-5/03
ARTESÃO(Ã) EM METAIS INDEPENDENTE ;2599-3/99
ARTESÃO(Ã) EM METAIS PRECIOSOS INDEPENDENTE ;3211-6/02
ARTESÃO(Ã) EM OUTROS MATERIAIS INDEPENDENTE ;3299-0/99
ARTESÃO(Ã) EM PAPEL INDEPENDENTE ;1749-4/00
ARTESÃO(Ã) EM PLÁSTICO INDEPENDENTE;2229-3/99
ARTESÃO(Ã) EM VIDRO INDEPENDENTE;2319-2/00
ARTESÃO TÊXTIL ;1359-6/00
ASTRÓLOGO(A) INDEPENDENTE ;9609-2/99
AZULEJISTA INDEPENDENTE;4330-4/05
BALEIRO(A) INDEPENDENTE ;4721-1/04
BANHISTA DE ANIMAIS DOMÉSTICOS INDEPENDENTE ;9609-2/08
BARBEIRO INDEPENDENTE  ;9602-5/01
BARQUEIRO(A) INDEPENDENTE ;5099-8/99
BARRAQUEIRO(A) INDEPENDENTE;4712-1/00
BENEFICIADOR(A) DE CASTANHA INDEPENDENTE;1031-7/00
BIKEBOY (CICLISTA MENSAGEIRO) INDEPENDENTE ;5320-2/02
BIKE PROPAGANDISTA INDEPENDENTE ;7319-0/99
BOLACHEIRO(A)/BISCOITEIRO(A) INDEPENDENTE ;1092-9/00
BOMBEIRO(A) HIDRÁULICO INDEPENDENTE ;4322-3/01
BONELEIRO(A) (FABRICANTE DE BONÉS) INDEPENDENTE ;1414-2/00
BORDADEIRO(A) INDEPENDENTE ;1340-5/99
BORRACHEIRO(A) INDEPENDENTE ;4520-0/06
BRITADOR INDEPENDENTE ;2391-5/01
CABELEIREIRO(A) INDEPENDENTE ;9602-5/01
CALAFETADOR(A) INDEPENDENTE ;4330-4/05
CALHEIRO (A) INDEPENDENT ;4399-1/99
CAMINHONEIRO (A) DE CARGAS NÃO PERIGOSAS, INTERMUNICIPAL E INTERESTADUAL INDEPENDENTE ;4930-2/02
CANTOR(A)/MÚSICO(A) INDEPENDENTE ;9001-9/02
